"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location.type","SpatialDimValueCode","Location","Period.type","Period","IsLatestYear","Dim1.type","Dim1","Dim1ValueCode","Dim2.type","Dim2","Dim2ValueCode","Dim3.type","Dim3","Dim3ValueCode","DataSourceDimValueCode","DataSource","FactValueNumericPrefix","FactValueNumeric","FactValueUoM","FactValueNumericLowPrefix","FactValueNumericLow","FactValueNumericHighPrefix","FactValueNumericHigh","Value","FactValueTranslationID","FactComments","Language","DateModified","Region Name","M49 Code","Sub-region Name"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","BLZ","Belize","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.13,NA,NA,19.73,NA,20.53,"20.1 [19.7-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",84,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","SAU","Saudi Arabia","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.09,NA,NA,19.7,NA,20.53,"20.1 [19.7-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",682,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","COL","Colombia","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.15,NA,NA,19.78,NA,20.54,"20.1 [19.8-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",170,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","ROU","Romania","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.06,NA,NA,20.03,NA,20.13,"20.1 [20.0-20.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",642,"Eastern Europe"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","GRD","Grenada","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.21,NA,NA,19.56,NA,21.21,"20.2 [19.6-21.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",308,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","PER","Peru","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.23,NA,NA,19.8,NA,20.7,"20.2 [19.8-20.7]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",604,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","ARM","Armenia","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.15,NA,NA,19.9,NA,20.44,"20.2 [19.9-20.4]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",51,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","CUB","Cuba","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.16,NA,NA,19.88,NA,20.48,"20.2 [19.9-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",192,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","URY","Uruguay","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.17,NA,NA,20.1,NA,20.27,"20.2 [20.1-20.3]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",858,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","MEX","Mexico","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.24,NA,NA,20.23,NA,20.27,"20.2 [20.2-20.3]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",484,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","BRB","Barbados","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.29,NA,NA,19.69,NA,20.96,"20.3 [19.7-21.0]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",52,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","KGZ","Kyrgyzstan","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.26,NA,NA,19.91,NA,20.69,"20.3 [19.9-20.7]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",417,"Central Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","HRV","Croatia","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.29,NA,NA,20.22,NA,20.4,"20.3 [20.2-20.4]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",191,"Southern Europe"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","CZE","Czechia","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.29,NA,NA,20.25,NA,20.38,"20.3 [20.2-20.4]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",203,"Eastern Europe"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","WPR","Western Pacific","Country","TON","Tonga","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.44,NA,NA,19.8,NA,21.12,"20.4 [19.8-21.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Oceania",776,"Polynesia"
